saved_at,ally,burke,rh,schwab,merill,sav_checking,sav_goal,monthly_save,sav_months,hp,dp_pct,dp_saved,dp_monthly,car_bal,car_rate,car_pay,car_extra,car_start,k401_cur,k401_sal,k401_pct,k401_emp,k401_growth,k401_bonus,k401_age,k401_retire
2026-04-02T12:45:38,1025.0,3700.0,843.0,23700.0,37000.0,2883.84,49122.0,800.0,24,300000.0,10,5725.0,500.0,33051.81,6.0,650.0,1000.0,2025-09-01,4923.8,75000.0,10,4,6,5000.0,36,65
2026-04-02T12:49:35,1025.0,6000.0,843.0,24500.0,43000.0,2883.84,80000.0,1000.0,36,300000.0,10,5725.0,500.0,33051.81,6.0,650.0,1000.0,2025-09-01,4923.8,75000.0,10,4,6,5000.0,36,65
2026-04-02T12:50:43,1025.0,6000.0,843.0,24500.0,43000.0,2883.84,80000.0,1000.0,36,600000.0,15,30500.0,1000.0,33051.81,6.0,650.0,1000.0,2025-09-01,4923.8,75000.0,10,4,6,5000.0,36,65
2026-04-02T12:52:52,1025.0,6000.0,843.0,24500.0,43000.0,2883.84,80000.0,1000.0,36,600000.0,15,30500.0,1000.0,29970.98,7.89,600.0,1000.0,2026-04-02,4923.8,75000.0,10,4,6,5000.0,36,65
2026-04-02T12:58:03,1025.0,6000.0,843.0,24500.0,43000.0,2883.84,80000.0,1500.0,36,800000.0,10,30500.0,1000.0,29970.98,7.89,600.0,1000.0,2026-04-02,8627.05,143000.0,15,4,6,5000.0,36,65
2026-04-02T13:03:11,1025.0,6000.0,843.0,24500.0,43000.0,2883.84,80000.0,1500.0,36,800000.0,10,30500.0,1000.0,29970.98,7.89,600.0,1000.0,2026-04-02,8627.05,143000.0,15,4,6,3000.0,36,65
