saved_at,paycheck_amount,opening_balance,current_balance,pay_frequency,pay_weekday_idx,pay_monthly_day,rec_rent_amount,rec_rent_day,rec_parking_amount,rec_parking_day,rec_gas_amount,rec_gas_day,rec_elec_amount,rec_elec_day,rec_water_amount,rec_water_day,rec_sewer_amount,rec_sewer_day,rec_student_amount,rec_student_day,rec_internet_amount,rec_internet_day,rec_phone_amount,rec_phone_day,rec_insurance_amount,rec_insurance_day,rec_subs_amount,rec_subs_day,ai_rows,oe_expense_rows,cc_cards
2026-04-02T12:13:15,1490.0,0.0,0.0,Weekly,4,1,2898.0,2,75.0,2,85.0,2,100.0,2,55.0,2,120.0,2,423.0,10,69.99,26,90.04,29,150.0,3,47.0,24,[],[],"[{""name"": ""Discover"", ""statement_balance"": 1213.97, ""current_balance"": 0.0, ""pay_day"": 8}, {""name"": ""MasterCard"", ""statement_balance"": 1288.45, ""current_balance"": 0.0, ""pay_day"": 17}]"
2026-04-02T12:15:44,1490.0,0.0,0.0,Weekly,4,1,2898.0,2,75.0,2,85.0,7,100.0,7,55.0,2,120.0,2,423.0,10,69.99,26,90.04,29,150.0,3,47.0,24,"[{""description"": ""Bonus"", ""amount"": 14500.0, ""day"": 3}, {""description"": ""Savings"", ""amount"": 700.0, ""day"": 1}]",[],"[{""name"": ""Discover"", ""statement_balance"": 2301.44, ""current_balance"": 0.0, ""pay_day"": 8}, {""name"": ""MasterCard"", ""statement_balance"": 4469.0, ""current_balance"": 0.0, ""pay_day"": 17}]"
2026-04-02T12:22:43,1490.0,0.0,0.0,Weekly,4,1,2898.0,2,75.0,2,85.0,7,100.0,7,55.0,2,120.0,2,423.0,10,69.99,26,90.04,29,150.0,3,47.0,24,"[{""description"": ""Bonus"", ""amount"": 14500.0, ""day"": 3}, {""description"": ""Savings"", ""amount"": 700.0, ""day"": 1}]","[{""name"": ""Desk"", ""amount"": 1320.0, ""day"": 5}, {""name"": ""Chair"", ""amount"": 330.0, ""day"": 5}, {""name"": ""Monitor"", ""amount"": 880.0, ""day"": 5}, {""name"": ""Handheld"", ""amount"": 880.0, ""day"": 5}, {""name"": ""Savings Deposit"", ""amount"": 3000.0, ""day"": 5}, {""name"": ""Investment Deposit"", ""amount"": 1500.0, ""day"": 5}, {""name"": ""Additional Car Payment"", ""amount"": 1000.0, ""day"": 5}]","[{""name"": ""Discover"", ""statement_balance"": 2301.44, ""current_balance"": 0.0, ""pay_day"": 8}, {""name"": ""MasterCard"", ""statement_balance"": 4469.0, ""current_balance"": 0.0, ""pay_day"": 17}]"
2026-04-02T12:41:56,1490.0,2883.84,242.58,Weekly,4,1,2898.0,2,75.0,2,85.0,7,100.0,7,55.0,2,120.0,2,423.0,10,69.99,26,90.04,29,150.0,3,47.0,24,"[{""description"": ""Bonus"", ""amount"": 14500.0, ""day"": 3}, {""description"": ""Savings"", ""amount"": 700.0, ""day"": 1}]","[{""name"": ""Desk"", ""amount"": 1320.0, ""day"": 5}, {""name"": ""Chair"", ""amount"": 330.0, ""day"": 5}, {""name"": ""Monitor"", ""amount"": 880.0, ""day"": 5}, {""name"": ""Handheld"", ""amount"": 880.0, ""day"": 5}, {""name"": ""Savings Deposit"", ""amount"": 3000.0, ""day"": 5}, {""name"": ""Investment Deposit"", ""amount"": 1500.0, ""day"": 5}, {""name"": ""Additional Car Payment"", ""amount"": 1000.0, ""day"": 5}]","[{""name"": ""Discover"", ""statement_balance"": 2301.44, ""current_balance"": 0.0, ""pay_day"": 8}, {""name"": ""MasterCard"", ""statement_balance"": 4469.0, ""current_balance"": 0.0, ""pay_day"": 17}]"
